country,country_code,continent,year,iwi,literacy,gov_edu_exp,secondary_enrol
Mexico,MEX,America,2005,72.8,92.0,4.63395023345947,80.6305389404297
Nicaragua,NIC,America,2005,48.1,78.0,,66.9869766235352
Niger,NER,Africa,2005,12.4,29.0,,9.15985012054443
Pakistan,PAK,Asia/Pacific,2005,50.0,50.0,1.67058002948761,22.8122806549072
Peru,PER,America,2005,52.4,88.0,2.83903002738953,82.7753372192383
Thailand,THA,Asia/Pacific,2005,76.8,94.0,3.93859004974365,71.679573059082
Turkey,TUR,Asia/Pacific,2005,77.3,88.0,,84.943717956543
Turkmenistan,TKM,Asia/Pacific,2005,72.3,99.4000015258789,,
Algeria,DZA,Africa,2006,77.0,73.0,,83.6042022705078
Benin,BEN,Africa,2006,29.7,28.7021102905273,2.56340003013611,
Brazil,BRA,America,2006,80.1,90.0,4.87060022354126,
Burkina Faso,BFA,Africa,2006,23.3,22.0,3.98218989372253,14.2397899627685
Colombia,COL,America,2006,69.6,92.0,,90.2876663208008
Egypt,EGY,Africa,2006,81.4,66.0,4.00178003311157,
El Salvador,SLV,America,2006,63.0,84.0,3.49298000335693,67.1278762817383
Haiti,HTI,America,2006,25.3,48.6850204467773,,
India,IND,Asia/Pacific,2006,37.7,63.0,3.14284992218018,57.2240791320801
Indonesia,IDN,Asia/Pacific,2006,56.3,92.0,,65.7089309692383
Iran,IRN,Asia/Pacific,2006,73.6,82.0,4.28998994827271,78.4934921264648
Maldives,MDV,Asia/Pacific,2006,78.0,98.0,4.64523983001709,
Mali,MLI,Africa,2006,19.9,26.0,,25.9403591156006
Mexico,MEX,America,2006,73.7,92.0,4.4931697845459,82.7013931274414
Nigeria,NGA,Africa,2006,35.7,70.0,,34.4249801635742
Pakistan,PAK,Asia/Pacific,2006,51.2,54.0,1.98055994510651,27.5696792602539
Peru,PER,America,2006,54.5,89.0,2.65281009674072,85.7075805664062
Senegal,SEN,Africa,2006,41.6,42.0,3.82137989997864,24.3925895690918
Togo,TGO,Africa,2006,29.4,57.0,2.43237996101379,47.1379013061523
Turkey,TUR,Asia/Pacific,2006,78.1,88.0,,88.5527877807617
Uganda,UGA,Africa,2006,19.5,71.0,,
Uruguay,URY,America,2006,85.9,98.0,2.85664010047913,102.318283081055
Azerbaijan,AZE,Europe,2007,67.1,100.0,2.5492799282074,
Bangladesh,BGD,Asia/Pacific,2007,30.4,46.6636009216309,2.20221996307373,47.9007186889648
Bolivia,BOL,America,2007,54.7,91.0,6.72048997879028,86.0495986938477
Brazil,BRA,America,2007,81.7,90.0,4.97425985336304,
Burkina Faso,BFA,Africa,2007,24.8,28.0,4.07983016967773,15.3694496154785
Cameroon,CMR,Africa,2007,31.9,71.0,2.87815999984741,32.7429504394531
Colombia,COL,America,2007,71.3,93.0,,93.012809753418
Congo Democratic Republic,COD,Africa,2007,20.1,61.2055511474609,,34.5101585388184
Dominican Republic,DOM,America,2007,70.7,88.0,2.04678988456726,79.9215469360352
Ecuador,ECU,America,2007,71.4,92.0,,63.4471893310547
El Salvador,SLV,America,2007,63.8,82.0,3.60984992980957,66.9662094116211
Ethiopia,ETH,Africa,2007,12.9,39.0,5.45112991333008,30.3098297119141
Honduras,HND,America,2007,57.6,84.0,,59.2733383178711
Jordan,JOR,Asia/Pacific,2007,89.1,92.0,,87.7151718139648
Kenya,KEN,Africa,2007,28.5,72.1570281982422,,50.9123115539551
Liberia,LBR,Africa,2007,23.8,42.9410781860352,,
Mauritania,MRT,Africa,2007,30.8,45.5037803649902,,
Mexico,MEX,America,2007,74.5,93.0,4.47921991348267,84.0887069702148
Namibia,NAM,Africa,2007,47.2,76.4865875244141,,63.0283203125
Pakistan,PAK,Asia/Pacific,2007,52.4,52.0,2.23465991020203,29.4775695800781
Palestine,PSE,Asia/Pacific,2007,93.2,94.0,,90.7039794921875
Paraguay,PRY,America,2007,69.5,95.0,2.73951005935669,69.0033798217773
Peru,PER,America,2007,55.4,90.0,2.62940001487732,88.6508178710938
South Africa,ZAF,Africa,2007,65.1,89.0,4.4466700553894,82.5455474853516
Timor Leste,TLS,Asia/Pacific,2007,29.3,51.0,,
Turkey,TUR,Asia/Pacific,2007,79.0,89.0,,90.7344512939453
Uruguay,URY,America,2007,86.7,98.0,,92.9150619506836
Venezuela,VEN,America,2007,81.8,95.0,3.62732005119324,78.7636871337891
Zambia,ZMB,Africa,2007,24.1,61.1270904541016,1.24075996875763,
Albania,ALB,Europe,2008,84.4,96.0,3.50922608375549,87.8338394165039
Algeria,DZA,Africa,2008,79.9,75.0,4.11142015457153,80.2112808227539
Bolivia,BOL,America,2008,56.7,91.0,6.72302007675171,85.3683776855469
Brazil,BRA,America,2008,83.2,90.0,5.26883983612061,
Burundi,BDI,Africa,2008,14.9,48.0,5.19290018081665,
Cambodia,KHM,Asia/Pacific,2008,38.6,77.0,,47.020809173584
Colombia,COL,America,2008,73.0,93.0,,94.2315521240234
Ecuador,ECU,America,2008,72.2,92.0,,
El Salvador,SLV,America,2008,64.6,84.0,4.45810985565186,65.724853515625
Indonesia,IDN,Asia/Pacific,2008,59.4,92.0,2.90190005302429,71.4267272949219
Iran,IRN,Asia/Pacific,2008,73.6,83.0,3.91375994682312,81.5289993286133
Mexico,MEX,America,2008,75.4,93.0,4.60609006881714,86.0763092041016
Morocco,MAR,Africa,2008,74.4,55.0,4.85339021682739,57.8878288269043
Nigeria,NGA,Africa,2008,36.7,51.0776596069336,,34.8519096374512
Pakistan,PAK,Asia/Pacific,2008,53.7,56.0,2.27263998985291,29.6895599365234
Palestine,PSE,Asia/Pacific,2008,92.1,94.0,,89.9470062255859
Paraguay,PRY,America,2008,71.3,93.0,,70.4103469848633
Philippines,PHL,Asia/Pacific,2008,61.8,95.0,2.58282995223999,80.5744400024414
Sao Tome & Principe,STP,Africa,2008,42.1,69.5363922119141,5.5544900894165,43.5881690979004
South Sudan,SSD,Africa,2008,7.99,27.0,,
Sudan,SDN,Africa,2008,29.6,54.0,1.85150003433228,37.7534599304199
Suriname,SUR,America,2008,78.7,95.0,,71.8160705566406
Uruguay,URY,America,2008,87.4,98.0,,88.0473403930664
Azerbaijan,AZE,Europe,2009,69.1,100.0,3.22430992126465,
Belarus,BLR,Europe,2009,81.3,100.0,4.3689398765564,114.908042907715
Bolivia,BOL,America,2009,58.7,91.0,7.57486009597778,83.7523803710938
Brazil,BRA,America,2009,84.7,90.0,5.46355009078979,
Cambodia,KHM,Asia/Pacific,2009,40.3,76.0,1.66568005084991,
Colombia,COL,America,2009,74.6,93.0,,98.2700805664062
Ecuador,ECU,America,2009,73.1,92.0,4.51763010025024,85.9710388183594
El Salvador,SLV,America,2009,65.4,84.0,4.65950012207031,66.2814865112305
Guyana,GUY,America,2009,69.4,84.994010925293,2.15057992935181,90.7434616088867
Indonesia,IDN,Asia/Pacific,2009,60.8,93.0,3.52513003349304,75.8255615234375
Kazakhstan,KAZ,Asia/Pacific,2009,80.3,100.0,3.06071996688843,
Kyrgyzstan,KGZ,Asia/Pacific,2009,70.7,99.0,6.23267984390259,84.9877090454102
Lebanon,LBN,Asia/Pacific,2009,68.6,91.0,1.76570999622345,
Lesotho,LSO,Africa,2009,30.5,75.8002014160156,,48.7411193847656
Madagascar,MDG,Africa,2009,23.1,64.4809112548828,2.82512998580933,29.1144294738769
Mexico,MEX,America,2009,76.2,93.0,4.94933986663818,85.9423217773438
Morocco,MAR,Africa,2009,76.3,56.0,4.83119010925293,60.9120292663574
Mozambique,MOZ,Africa,2009,21.3,51.0,,23.7465190887451
Pakistan,PAK,Asia/Pacific,2009,55.0,55.0,2.17916011810303,29.5907192230225
Palestine,PSE,Asia/Pacific,2009,91.0,94.0,,89.799919128418
Paraguay,PRY,America,2009,73.1,94.0,,71.3650970458984
Senegal,SEN,Africa,2009,46.3,48.0,4.92073011398315,
South Africa,ZAF,Africa,2009,67.3,93.0,4.76118993759155,83.7058792114258
Togo,TGO,Africa,2009,32.7,57.0,2.76807999610901,
Turkey,TUR,Asia/Pacific,2009,81.4,91.0,3.76504969596863,80.1907424926758
Uruguay,URY,America,2009,88.2,98.0,,89.2928771972656
